Time (Mars Years), Time (Ls), Tsurf 1 bar 30km, Tsurf 1 bar 50km, Tsurf 1 bar 100km
          [Years],     [deg],              [K],              [K],               [K]
        1.7921        274.89        261.279        261.111        286.991
        1.7936        275.42        261.236        261.070        286.969
        1.7951        275.96        261.224        261.048        286.923
        1.7966        276.50        261.211        260.986        286.928
        1.7981        277.04        261.250        260.913        286.881
        1.7996        277.58        261.234        260.895        286.803
        1.8011        278.12        261.219        260.876        286.716
        1.8026        278.65        261.237        260.870        286.638
        1.8041        279.19        261.256        260.879        286.606
        1.8056        279.73        261.282        260.884        286.534
        1.8071        280.27        261.316        260.841        286.477
        1.8086        280.81        261.339        260.822        286.420
        1.8101        281.35        261.327        260.799        286.353
        1.8115        281.89        261.318        260.783        286.369
        1.8130        282.42        261.332        260.802        286.338
        1.8145        282.96        261.312        260.783        286.306
        1.8160        283.50        261.282        260.751        286.337
        1.8175        284.04        261.301        260.729        286.311
        1.8190        284.58        261.343        260.653        286.265
        1.8205        285.12        261.324        260.554        286.175
        1.8220        285.65        261.356        260.514        286.138
        1.8235        286.19        261.340        260.466        286.106
        1.8250        286.73        261.258        260.395        286.049
        1.8265        287.27        261.117        260.275        285.980
        1.8280        287.81        260.938        260.134        285.895
        1.8295        288.35        260.771        260.078        285.807
        1.8310        288.89        260.691        260.031        285.785
        1.8325        289.42        260.702        259.982        285.751
        1.8340        289.96        260.762        259.824        285.749
        1.8355        290.50        260.858        259.714        285.723
        1.8370        291.04        260.953        259.676        285.679
        1.8385        291.58        261.060        259.563        285.651
        1.8400        292.12        261.108        259.488        285.623
        1.8415        292.65        261.100        259.544        285.569
        1.8430        293.19        261.068        259.620        285.530
        1.8445        293.73        261.034        259.634        285.512
        1.8459        294.27        261.019        259.624        285.437
        1.8474        294.81        261.077        259.569        285.351
        1.8489        295.35        261.146        259.523        285.341
        1.8504        295.88        261.151        259.472        285.348
        1.8519        296.42        261.089        259.430        285.277
        1.8534        296.96        261.052        259.434        285.193
        1.8549        297.50        260.996        259.412        285.130
        1.8564        298.04        260.938        259.386        285.115
        1.8579        298.58        260.920        259.347        285.087
        1.8594        299.12        260.970        259.316        285.058
        1.8609        299.65        260.970        259.276        285.000
        1.8624        300.19        260.879        259.249        284.954
        1.8639        300.73        260.784        259.247        284.871
        1.8654        301.27        260.674        259.245        284.802
        1.8669        301.81        260.520        259.216        284.786
        1.8684        302.35        260.511        259.112        284.762
        1.8699        302.88        260.542        259.101        284.699
        1.8714        303.42        260.641        259.113        284.651
        1.8729        303.96        260.692        259.175        284.596
        1.8744        304.50        260.733        259.288        284.543
        1.8759        305.04        260.644        259.386        284.490
        1.8774        305.58        260.432        259.455        284.394
        1.8789        306.12        260.298        259.535        284.349
        1.8803        306.65        260.287        259.602        284.309
        1.8818        307.19        260.349        259.587        284.302
        1.8833        307.73        260.399        259.566        284.259
        1.8848        308.27        260.440        259.540        284.237
        1.8863        308.81        260.495        259.500        284.171
        1.8878        309.35        260.523        259.405        284.141
        1.8893        309.88        260.595        259.379        284.115
        1.8908        310.42        260.736        259.383        284.044
        1.8923        310.96        260.837        259.387        283.980
        1.8938        311.50        260.949        259.347        283.857
        1.8953        312.04        260.973        259.298        283.756
        1.8968        312.58        260.934        259.218        283.709
        1.8983        313.11        260.983        259.201        283.648
        1.8998        313.65        261.029        259.165        283.578
        1.9013        314.19        261.071        259.053        283.552
        1.9028        314.73        261.111        258.981        283.531
        1.9043        315.27        261.098        258.981        283.452
        1.9058        315.81        261.061        258.951        283.356
        1.9073        316.35        260.941        258.880        283.255
        1.9088        316.88        260.807        258.865        283.223
        1.9103        317.42        260.778        258.958        283.200
        1.9118        317.96        260.760        259.093        283.135
        1.9133        318.50        260.710        259.196        283.035
        1.9147        319.04        260.687        259.259        283.005
        1.9162        319.58        260.750        259.227        282.941
        1.9177        320.11        260.811        259.221        282.904
        1.9192        320.65        260.793        259.283        282.865
        1.9207        321.19        260.825        259.384        282.854
        1.9222        321.73        260.820        259.394        282.870
        1.9237        322.27        260.766        259.305        282.814
        1.9252        322.81        260.793        259.278        282.767
        1.9267        323.35        260.793        259.302        282.735
        1.9282        323.88        260.799        259.280        282.716
        1.9297        324.42        260.762        259.218        282.747
        1.9312        324.96        260.698        259.213        282.759
        1.9327        325.50        260.839        259.240        282.714
        1.9342        326.04        260.931        259.256        282.634
        1.9357        326.58        260.966        259.244        282.603
        1.9372        327.11        261.052        259.215        282.585
        1.9387        327.65        261.087        259.154        282.538
        1.9402        328.19        261.002        259.049        282.396
        1.9417        328.73        260.948        258.900        282.286
        1.9432        329.27        260.933        258.625        282.252
        1.9447        329.81        260.913        258.397        282.217
        1.9462        330.34        260.834        258.399        282.227
        1.9477        330.88        260.852        258.481        282.225
        1.9491        331.42        260.971        258.658        282.208
        1.9506        331.96        261.006        258.738        282.181
        1.9521        332.50        260.970        258.732        282.103
        1.9536        333.04        260.959        258.683        282.047
        1.9551        333.58        260.969        258.733        281.991
        1.9566        334.11        260.872        258.819        281.881
        1.9581        334.65        260.832        258.905        281.815
        1.9596        335.19        260.827        258.979        281.821
        1.9611        335.73        260.707        258.968        281.815
        1.9626        336.27        260.487        258.923        281.820
        1.9641        336.81        260.354        258.924        281.851
        1.9656        337.34        260.250        258.907        281.830
        1.9671        337.88        260.218        258.881        281.797
        1.9686        338.42        260.303        258.993        281.766
        1.9701        338.96        260.383        259.043        281.739
        1.9716        339.50        260.425        259.007        281.745
        1.9731        340.04        260.442        258.990        281.701
        1.9746        340.58        260.338        259.093        281.663
        1.9761        341.11        260.400        259.079        281.652
        1.9776        341.65        260.515        258.954        281.613
        1.9791        342.19        260.643        258.966        281.621
        1.9806        342.73        260.817        258.969        281.623
        1.9821        343.27        260.983        258.861        281.549
        1.9835        343.81        261.066        258.756        281.496
        1.9850        344.34        261.135        258.709        281.365
        1.9865        344.88        261.148        258.654        281.243
        1.9880        345.42        261.045        258.432        281.204
        1.9895        345.96        260.929        258.149        281.129
        1.9910        346.50        260.981        258.114        280.999
        1.9925        347.04        261.028        258.083        280.852
        1.9940        347.58        261.019        258.103        280.607
        1.9955        348.11        260.980        258.291        280.498
        1.9970        348.65        260.891        258.382        280.438
        1.9985        349.19        260.566        258.409        280.426
        2.0000        349.73        260.190        258.274        280.501
        2.0015        350.27        260.192        258.167        280.514
        2.0030        350.81        260.256        258.207        280.527
        2.0045        351.34        260.419        258.237        280.536
        2.0060        351.88        260.615        258.182        280.482
        2.0075        352.42        260.622        258.118        280.451
        2.0090        352.96        260.631        258.207        280.425
        2.0105        353.50        260.692        258.297        280.480
        2.0120        354.04        260.733        258.292        280.435
        2.0135        354.57        260.780        258.224        280.394
        2.0150        355.11        260.743        258.301        280.401
        2.0165        355.65        260.341        258.395        280.427
        2.0179        356.19        260.041        258.403        280.443
        2.0194        356.73        260.102        258.480        280.388
        2.0209        357.27        260.296        258.603        280.419
        2.0224        357.81        260.409        258.661        280.389
        2.0239        358.34        260.576        258.665        280.318
        2.0254        358.88        260.747        258.707        280.194
        2.0269        359.42        260.811        258.734        280.129
        2.0284        359.96        260.798        258.766        280.157
        2.0299          0.50        260.824        258.763        280.163
        2.0314          1.04        260.908        258.741        280.206
        2.0329          1.57        260.968        258.759        280.229
        2.0344          2.11        261.017        258.747        280.216
        2.0359          2.65        261.055        258.668        280.183
        2.0374          3.19        261.036        258.629        280.140
        2.0389          3.73        261.002        258.698        280.060
        2.0404          4.27        260.960        258.774        280.049
        2.0419          4.81        261.022        258.888        280.018
        2.0434          5.34        261.091        258.956        279.988
        2.0449          5.88        261.080        259.012        279.910
        2.0464          6.42        261.019        259.038        279.752
        2.0479          6.96        260.917        259.019        279.594
        2.0494          7.50        260.826        259.055        279.566
        2.0509          8.04        260.596        259.109        279.535
        2.0523          8.57        260.427        259.102        279.481
        2.0538          9.11        260.473        259.044        279.451
        2.0553          9.65        260.470        258.953        279.458
        2.0568         10.19        260.493        258.946        279.488
        2.0583         10.73        260.597        258.931        279.482
        2.0598         11.27        260.648        258.894        279.424
        2.0613         11.80        260.716        258.788        279.331
        2.0628         12.34        260.778        258.664        279.275
        2.0643         12.88        260.796        258.609        279.200
        2.0658         13.42        260.788        258.522        279.140
        2.0673         13.96        260.741        258.368        279.115
        2.0688         14.50        260.593        258.208        278.973
        2.0703         15.04        260.463        258.014        278.825
        2.0718         15.57        260.493        257.804        278.705
        2.0733         16.11        260.620        257.802        278.541
        2.0748         16.65        260.591        257.858        278.427
        2.0763         17.19        260.599        257.966        278.367
        2.0778         17.73        260.596        258.063        278.346
        2.0793         18.27        260.631        258.085        278.338
        2.0808         18.80        260.717        258.069        278.391
        2.0823         19.34        260.689        258.131        278.392
        2.0838         19.88        260.420        258.247        278.381
        2.0853         20.42        260.262        258.366        278.328
        2.0867         20.96        260.233        258.428        278.293
        2.0882         21.50        260.224        258.424        278.205
        2.0897         22.04        260.137        258.381        278.193
        2.0912         22.57        260.052        258.340        278.183
        2.0927         23.11        260.115        258.286        278.155
        2.0942         23.65        260.115        258.229        278.133
        2.0957         24.19        260.102        258.185        278.078
        2.0972         24.73        260.162        258.161        278.014
        2.0987         25.27        260.307        258.133        277.897
        2.1002         25.80        260.424        258.190        277.786
        2.1017         26.34        260.512        258.224        277.761
        2.1032         26.88        260.552        258.260        277.728
        2.1047         27.42        260.601        258.385        277.667
        2.1062         27.96        260.731        258.508        277.558
        2.1077         28.50        260.862        258.564        277.466
        2.1092         29.03        261.002        258.557        277.385
        2.1107         29.57        261.137        258.546        277.320
        2.1122         30.11        261.280        258.541        277.300
        2.1137         30.65        261.366        258.580        277.274
        2.1152         31.19        261.342        258.558        277.218
        2.1167         31.73        261.257        258.554        277.160
        2.1182         32.27        261.063        258.555        277.169
        2.1197         32.80        260.976        258.544        277.136
        2.1211         33.34        261.018        258.464        277.139
        2.1226         33.88        261.129        258.368        277.059
        2.1241         34.42        261.256        258.293        276.936
        2.1256         34.96        261.306        258.290        276.887
        2.1271         35.50        261.277        258.293        276.839
        2.1286         36.03        261.241        258.269        276.748
        2.1301         36.57        261.219        258.303        276.643
        2.1316         37.11        261.152        258.311        276.511
        2.1331         37.65        261.112        258.251        276.392
        2.1346         38.19        261.043        258.190        276.316
        2.1361         38.73        260.966        258.166        276.232
        2.1376         39.27        261.013        258.190        276.161
        2.1391         39.80        261.035        258.200        276.077
        2.1406         40.34        261.024        258.121        275.981
        2.1421         40.88        261.057        258.015        275.885
        2.1436         41.42        261.123        257.961        275.835
        2.1451         41.96        261.213        257.984        275.809
        2.1466         42.50        261.235        258.022        275.765
        2.1481         43.03        261.301        258.045        275.675
        2.1496         43.57        261.377        258.033        275.595
        2.1511         44.11        261.419        258.009        275.504
        2.1526         44.65        261.412        258.032        275.472
        2.1541         45.19        261.425        258.068        275.468
        2.1555         45.73        261.371        258.034        275.446
        2.1570         46.27        261.301        258.041        275.476
        2.1585         46.80        261.315        258.084        275.456
        2.1600         47.34        261.335        258.085        275.447
        2.1615         47.88        261.271        258.081        275.382
        2.1630         48.42        261.166        258.095        275.249
        2.1645         48.96        261.133        258.094        275.186
        2.1660         49.50        261.058        258.091        275.112
        2.1675         50.03        261.062        258.047        275.017
        2.1690         50.57        261.136        258.046        274.989
        2.1705         51.11        261.167        258.072        274.905
        2.1720         51.65        261.134        258.029        274.753
        2.1735         52.19        261.165        257.995        274.624
        2.1750         52.73        261.191        257.977        274.531
        2.1765         53.26        261.100        257.933        274.491
        2.1780         53.80        261.032        257.889        274.490
        2.1795         54.34        260.989        257.845        274.417
        2.1810         54.88        261.002        257.829        274.307
        2.1825         55.42        261.015        257.765        274.199
        2.1840         55.96        261.032        257.673        274.066
        2.1855         56.50        261.069        257.594        273.943
        2.1870         57.03        261.147        257.520        273.883
        2.1885         57.57        261.184        257.406        273.831
        2.1899         58.11        261.195        257.320        273.776
        2.1914         58.65        261.190        257.255        273.734
        2.1929         59.19        261.181        257.213        273.652
        2.1944         59.73        261.178        257.218        273.580
        2.1959         60.26        261.212        257.214        273.551
        2.1974         60.80        261.262        257.259        273.447
        2.1989         61.34        261.186        257.300        273.297
        2.2004         61.88        260.960        257.297        273.198
        2.2019         62.42        260.809        257.322        273.150
        2.2034         62.96        260.706        257.351        273.066
        2.2049         63.50        260.725        257.331        272.975
        2.2064         64.03        260.800        257.327        272.893
        2.2079         64.57        260.913        257.322        272.803
        2.2094         65.11        260.982        257.316        272.735
        2.2109         65.65        261.002        257.300        272.645
        2.2124         66.19        261.083        257.245        272.601
        2.2139         66.73        261.119        257.189        272.539
        2.2154         67.26        261.215        257.137        272.414
        2.2169         67.80        261.236        257.044        272.268
        2.2184         68.34        261.117        256.918        272.194
        2.2199         68.88        260.981        256.928        272.154
        2.2214         69.42        260.969        256.994        272.103
        2.2229         69.96        261.024        256.964        271.953
        2.2243         70.49        261.009        256.890        271.832
        2.2258         71.03        261.058        256.833        271.775
        2.2273         71.57        261.057        256.774        271.703
        2.2288         72.11        261.030        256.745        271.667
        2.2303         72.65        261.064        256.649        271.594
        2.2318         73.19        261.218        256.627        271.617
        2.2333         73.73        261.241        256.670        271.657
        2.2348         74.26        261.143        256.678        271.694
        2.2363         74.80        261.129        256.603        271.723
        2.2378         75.34        261.122        256.551        271.638
        2.2393         75.88        261.089        256.570        271.470
        2.2408         76.42        261.000        256.517        271.347
        2.2423         76.96        260.933        256.432        271.291
        2.2438         77.49        260.778        256.398        271.198
        2.2453         78.03        260.636        256.426        271.136
        2.2468         78.57        260.592        256.414        271.056
        2.2483         79.11        260.528        256.307        271.003
        2.2498         79.65        260.452        256.132        270.959
        2.2513         80.19        260.468        256.060        270.788
        2.2528         80.73        260.551        256.051        270.632
        2.2543         81.26        260.605        256.028        270.511
        2.2558         81.80        260.575        255.969        270.486
        2.2573         82.34        260.542        255.949        270.399
        2.2588         82.88        260.480        255.982        270.305
        2.2602         83.42        260.436        256.052        270.285
        2.2617         83.96        260.492        256.071        270.298
        2.2632         84.49        260.518        256.125        270.301
        2.2647         85.03        260.578        256.169        270.255
        2.2662         85.57        260.695        256.067        270.205
        2.2677         86.11        260.784        255.857        270.186
        2.2692         86.65        260.791        255.756        270.159
        2.2707         87.19        260.720        255.782        270.152
        2.2722         87.72        260.656        255.827        270.067
        2.2737         88.26        260.645        255.810        269.970
        2.2752         88.80        260.607        255.750        269.883
        2.2767         89.34        260.522        255.607        269.760
        2.2782         89.88        260.530        255.555        269.600
        2.2797         90.42        260.531        255.567        269.467
        2.2812         90.96        260.483        255.579        269.368
        2.2827         91.49        260.532        255.557        269.296
        2.2842         92.03        260.618        255.574        269.153
        2.2857         92.57        260.604        255.596        268.983
        2.2872         93.11        260.465        255.625        268.923
        2.2887         93.65        260.375        255.655        268.822
        2.2902         94.19        260.289        255.563        268.768
        2.2917         94.72        260.134        255.436        268.704
        2.2932         95.26        260.005        255.303        268.638
        2.2946         95.80        259.954        255.200        268.569
        2.2961         96.34        260.049        255.226        268.483
        2.2976         96.88        260.053        255.323        268.465
        2.2991         97.42        259.932        255.369        268.415
        2.3006         97.96        259.840        255.258        268.373
        2.3021         98.49        259.898        255.108        268.438
        2.3036         99.03        259.964        255.026        268.426
        2.3051         99.57        259.999        254.984        268.357
        2.3066        100.11        259.959        254.985        268.284
        2.3081        100.65        259.929        254.930        268.249
        2.3096        101.19        259.842        254.921        268.248
        2.3111        101.72        259.720        254.912        268.232
        2.3126        102.26        259.646        254.820        268.200
        2.3141        102.80        259.698        254.749        268.131
        2.3156        103.34        259.634        254.711        267.970
        2.3171        103.88        259.547        254.728        267.818
        2.3186        104.42        259.579        254.735        267.767
        2.3201        104.96        259.442        254.739        267.707
        2.3216        105.49        259.308        254.757        267.656
        2.3231        106.03        259.203        254.733        267.639
        2.3246        106.57        259.205        254.696        267.698
        2.3261        107.11        259.382        254.735        267.660
        2.3276        107.65        259.494        254.785        267.681
        2.3290        108.19        259.480        254.766        267.663
        2.3305        108.72        259.348        254.817        267.667
        2.3320        109.26        259.276        254.803        267.641
        2.3335        109.80        259.217        254.695        267.591
        2.3350        110.34        259.240        254.571        267.514
        2.3365        110.88        259.294        254.442        267.438
        2.3380        111.42        259.294        254.434        267.434
        2.3395        111.95        259.350        254.527        267.376
        2.3410        112.49        259.426        254.569        267.299
        2.3425        113.03        259.427        254.553        267.295
        2.3440        113.57        259.392        254.435        267.332
        2.3455        114.11        259.339        254.309        267.322
        2.3470        114.65        259.282        254.265        267.287
        2.3485        115.19        259.162        254.385        267.228
        2.3500        115.72        258.993        254.444        267.251
        2.3515        116.26        258.998        254.467        267.354
        2.3530        116.80        259.007        254.380        267.367
        2.3545        117.34        259.016        254.257        267.375
        2.3560        117.88        259.094        254.104        267.297
        2.3575        118.42        259.216        254.034        267.192
        2.3590        118.95        259.293        253.968        267.117
        2.3605        119.49        259.364        253.902        267.162
        2.3620        120.03        259.411        253.965        267.193
        2.3634        120.57        259.414        253.968        267.176
        2.3649        121.11        259.376        253.944        267.159
        2.3664        121.65        259.356        253.992        267.110
        2.3679        122.19        259.407        254.123        267.096
        2.3694        122.72        259.480        254.213        267.089
        2.3709        123.26        259.509        254.183        267.014
        2.3724        123.80        259.525        254.107        266.915
        2.3739        124.34        259.598        253.989        266.814
        2.3754        124.88        259.587        253.846        266.764
        2.3769        125.42        259.536        253.725        266.772
        2.3784        125.95        259.436        253.668        266.772
        2.3799        126.49        259.369        253.668        266.817
        2.3814        127.03        259.310        253.745        266.862
        2.3829        127.57        259.299        253.809        266.811
        2.3844        128.11        259.275        253.771        266.714
        2.3859        128.65        259.206        253.759        266.617
        2.3874        129.18        259.153        253.698        266.619
        2.3889        129.72        259.153        253.776        266.549
        2.3904        130.26        259.203        253.929        266.408
        2.3919        130.80        259.348        254.064        266.375
        2.3934        131.34        259.391        254.102        266.345
        2.3949        131.88        259.297        254.083        266.351
        2.3964        132.42        259.240        254.055        266.375
        2.3978        132.95        259.251        254.010        266.280
        2.3993        133.49        259.226        253.947        266.130
        2.4008        134.03        259.114        253.968        266.035
        2.4023        134.57        259.085        253.999        266.044
        2.4038        135.11        259.119        253.969        266.149
        2.4053        135.65        259.097        253.906        266.271
        2.4068        136.18        259.027        253.933        266.300
        2.4083        136.72        258.950        254.034        266.419
        2.4098        137.26        259.039        254.170        266.520
        2.4113        137.80        259.158        254.230        266.592
        2.4128        138.34        259.291        254.254        266.620
        2.4143        138.88        259.422        254.216        266.587
        2.4158        139.42        259.418        254.155        266.510
        2.4173        139.95        259.365        254.150        266.469
        2.4188        140.49        259.332        254.220        266.498
        2.4203        141.03        259.285        254.180        266.484
        2.4218        141.57        259.384        254.101        266.368
        2.4233        142.11        259.398        254.039        266.380
        2.4248        142.65        259.326        254.058        266.482
        2.4263        143.18        259.345        254.102        266.540
        2.4278        143.72        259.422        254.126        266.511
        2.4293        144.26        259.508        254.133        266.402
        2.4308        144.80        259.619        254.030        266.322
        2.4322        145.34        259.639        253.955        266.239
        2.4337        145.88        259.434        253.968        266.126
        2.4352        146.42        259.202        254.028        266.075
        2.4367        146.95        259.228        254.131        266.051
        2.4382        147.49        259.281        254.214        266.041
        2.4397        148.03        259.255        254.234        265.990
        2.4412        148.57        259.461        254.314        266.095
        2.4427        149.11        259.556        254.357        266.189
        2.4442        149.65        259.541        254.386        266.277
        2.4457        150.18        259.641        254.433        266.352
        2.4472        150.72        259.708        254.525        266.420
        2.4487        151.26        259.683        254.574        266.432
        2.4502        151.80        259.594        254.567        266.359
        2.4517        152.34        259.524        254.527        266.281
        2.4532        152.88        259.530        254.507        266.211
        2.4547        153.41        259.457        254.549        266.154
        2.4562        153.95        259.375        254.593        266.090
        2.4577        154.49        259.390        254.603        266.050
        2.4592        155.03        259.310        254.555        266.059
        2.4607        155.57        259.190        254.546        266.090
        2.4622        156.11        259.241        254.552        266.153
        2.4637        156.65        259.253        254.576        266.197
        2.4652        157.18        259.389        254.651        266.257
        2.4666        157.72        259.584        254.720        266.255
        2.4681        158.26        259.767        254.700        266.197
        2.4696        158.80        259.815        254.607        266.120
        2.4711        159.34        259.740        254.488        266.154
        2.4726        159.88        259.724        254.478        266.067
        2.4741        160.41        259.805        254.532        265.922
        2.4756        160.95        259.983        254.618        265.875
        2.4771        161.49        260.089        254.661        265.922
        2.4786        162.03        260.145        254.670        265.841
        2.4801        162.57        260.200        254.670        265.837
        2.4816        163.11        260.202        254.542        265.900
        2.4831        163.65        260.174        254.406        265.972
        2.4846        164.18        260.195        254.515        266.003
        2.4861        164.72        260.252        254.712        266.121
        2.4876        165.26        260.353        254.831        266.234
        2.4891        165.80        260.470        254.874        266.269
        2.4906        166.34        260.559        254.918        266.307
        2.4921        166.88        260.590        254.961        266.333
        2.4936        167.41        260.629        254.925        266.385
        2.4951        167.95        260.662        254.937        266.434
        2.4966        168.49        260.718        255.057        266.398
        2.4981        169.03        260.747        255.168        266.297
        2.4996        169.57        260.729        255.115        266.218
        2.5010        170.11        260.548        255.097        266.249
        2.5025        170.64        260.287        255.167        266.361
        2.5040        171.18        260.178        255.268        266.347
        2.5055        171.72        260.270        255.268        266.191
        2.5070        172.26        260.349        255.155        266.073
        2.5085        172.80        260.457        255.050        265.909
        2.5100        173.34        260.595        255.085        265.841
        2.5115        173.88        260.606        255.153        265.952
        2.5130        174.41        260.460        255.221        265.973
        2.5145        174.95        260.341        255.115        265.904
        2.5160        175.49        260.379        254.946        265.746
        2.5175        176.03        260.481        254.779        265.752
        2.5190        176.57        260.430        254.843        265.880
        2.5205        177.11        260.341        255.031        266.073
        2.5220        177.64        260.346        255.242        266.175
        2.5235        178.18        260.401        255.320        266.288
        2.5250        178.72        260.487        255.318        266.409
        2.5265        179.26        260.513        255.235        266.419
        2.5280        179.80        260.678        255.237        266.404
        2.5295        180.34        260.841        255.237        266.366
        2.5310        180.88        260.922        255.230        266.376
        2.5325        181.41        260.977        255.266        266.405
        2.5340        181.95        260.945        255.374        266.375
        2.5354        182.49        260.824        255.501        266.339
        2.5369        183.03        260.787        255.597        266.308
        2.5384        183.57        260.901        255.626        266.296
        2.5399        184.11        260.902        255.595        266.236
        2.5414        184.64        260.755        255.556        266.130
        2.5429        185.18        260.657        255.534        266.057
        2.5444        185.72        260.637        255.592        266.092
        2.5459        186.26        260.609        255.693        266.185
        2.5474        186.80        260.637        255.750        266.277
        2.5489        187.34        260.716        255.791        266.408
        2.5504        187.87        260.891        255.852        266.520
        2.5519        188.41        261.021        255.986        266.564
        2.5534        188.95        261.087        256.077        266.535
        2.5549        189.49        261.160        256.157        266.473
        2.5564        190.03        261.221        256.253        266.490
        2.5579        190.57        261.249        256.348        266.623
        2.5594        191.11        261.367        256.327        266.767
        2.5609        191.64        261.508        256.283        266.822
        2.5624        192.18        261.594        256.272        266.835
        2.5639        192.72        261.654        256.225        266.896
        2.5654        193.26        261.685        256.145        266.944
        2.5669        193.80        261.692        256.157        266.964
        2.5684        194.34        261.753        256.177        266.927
        2.5698        194.87        261.776        256.191        266.993
        2.5713        195.41        261.760        256.218        267.046
        2.5728        195.95        261.756        256.346        267.046
        2.5743        196.49        261.769        256.519        267.059
        2.5758        197.03        261.783        256.559        267.066
        2.5773        197.57        261.805        256.601        267.149
        2.5788        198.11        261.841        256.722        267.161
        2.5803        198.64        261.890        256.815        267.095
        2.5818        199.18        261.949        256.925        267.056
        2.5833        199.72        261.952        257.004        267.090
        2.5848        200.26        261.847        257.032        267.174
        2.5863        200.80        261.753        257.113        267.213
        2.5878        201.34        261.727        257.185        267.201
        2.5893        201.87        261.784        257.197        267.117
        2.5908        202.41        261.816        257.177        267.086
        2.5923        202.95        261.790        257.158        267.036
        2.5938        203.49        261.744        257.184        267.007
        2.5953        204.03        261.754        257.191        267.001
        2.5968        204.57        261.804        257.164        267.008
        2.5983        205.10        261.836        257.169        267.045
        2.5998        205.64        261.875        257.170        267.053
        2.6013        206.18        261.894        257.121        267.074
        2.6028        206.72        261.961        257.083        267.073
        2.6042        207.26        262.030        257.000        267.059
        2.6057        207.80        262.020        256.896        267.037
        2.6072        208.34        262.023        256.827        267.045
        2.6087        208.87        262.028        256.759        267.137
        2.6102        209.41        261.967        256.741        267.183
        2.6117        209.95        261.938        256.752        267.215
        2.6132        210.49        261.971        256.808        267.244
        2.6147        211.03        262.089        256.917        267.301
        2.6162        211.57        262.150        256.976        267.301
        2.6177        212.10        262.148        256.977        267.319
        2.6192        212.64        262.175        256.945        267.376
        2.6207        213.18        262.209        256.888        267.421
        2.6222        213.72        262.173        256.937        267.413
        2.6237        214.26        262.059        256.982        267.373
        2.6252        214.80        261.975        257.035        267.357
        2.6267        215.34        261.941        257.070        267.307
        2.6282        215.87        261.970        257.085        267.293
        2.6297        216.41        262.062        257.124        267.359
        2.6312        216.95        262.083        257.103        267.353
        2.6327        217.49        262.093        257.108        267.333
        2.6342        218.03        262.103        257.195        267.270
        2.6357        218.57        262.094        257.211        267.200
        2.6372        219.10        262.050        257.193        267.132
        2.6386        219.64        261.998        257.155        267.093
        2.6401        220.18        261.937        257.115        267.131
        2.6416        220.72        261.879        257.150        267.148
        2.6431        221.26        261.882        257.235        267.100
        2.6446        221.80        261.866        257.358        267.098
        2.6461        222.34        261.892        257.473        267.100
        2.6476        222.87        261.909        257.581        267.120
        2.6491        223.41        261.896        257.684        267.161
        2.6506        223.95        261.905        257.680        267.214
        2.6521        224.49        261.935        257.679        267.308
        2.6536        225.03        262.021        257.657        267.375
        2.6551        225.57        262.165        257.595        267.419
        2.6566        226.10        262.283        257.567        267.458
        2.6581        226.64        262.373        257.651        267.436
        2.6596        227.18        262.469        257.745        267.444
        2.6611        227.72        262.504        257.806        267.447
        2.6626        228.26        262.507        257.806        267.425
        2.6641        228.80        262.500        257.800        267.396
        2.6656        229.33        262.452        257.806        267.397
        2.6671        229.87        262.375        257.801        267.398
        2.6686        230.41        262.314        257.795        267.387
        2.6701        230.95        262.198        257.778        267.366
        2.6716        231.49        262.082        257.717        267.363
        2.6731        232.03        262.009        257.677        267.370
        2.6745        232.57        261.896        257.635        267.312
        2.6760        233.10        261.813        257.589        267.305
        2.6775        233.64        261.839        257.595        267.307
        2.6790        234.18        261.832        257.615        267.283
        2.6805        234.72        261.826        257.599        267.237
        2.6820        235.26        261.849        257.532        267.254
        2.6835        235.80        261.912        257.498        267.315
        2.6850        236.33        261.939        257.461        267.376
        2.6865        236.87        261.941        257.408        267.388
        2.6880        237.41        261.933        257.384        267.368
        2.6895        237.95        261.914        257.391        267.328
        2.6910        238.49        261.950        257.393        267.263
        2.6925        239.03        262.005        257.417        267.264
        2.6940        239.57        262.043        257.451        267.250
        2.6955        240.10        262.071        257.468        267.267
        2.6970        240.64        262.108        257.473        267.279
        2.6985        241.18        262.072        257.442        267.201
        2.7000        241.72        262.004        257.367        267.094
        2.7015        242.26        261.935        257.273        266.958
