Time (Mars Years), Time (Ls), Tsurf 1 bar 30km, Tsurf 1 bar 50km, Tsurf 1 bar 100km
          [Years],     [deg],              [K],              [K],               [K]
        0.2094         65.11        330.620        329.702        360.095
        0.2109         65.65        330.289        329.069        359.379
        0.2124         66.19        329.926        328.623        358.995
        0.2139         66.73        329.455        328.229        358.369
        0.2154         67.26        329.070        327.709        357.933
        0.2169         67.80        328.686        327.373        357.818
        0.2184         68.34        328.386        327.008        357.394
        0.2199         68.88        328.007        326.573        356.859
        0.2214         69.42        327.625        326.159        356.315
        0.2229         69.96        327.151        325.849        355.582
        0.2244         70.49        326.788        325.503        355.294
        0.2258         71.03        326.493        325.133        355.153
        0.2273         71.57        326.219        324.822        354.764
        0.2288         72.11        325.850        324.469        354.636
        0.2303         72.65        325.351        324.142        354.244
        0.2318         73.19        324.915        323.925        353.710
        0.2333         73.73        324.443        323.616        353.592
        0.2348         74.26        323.957        323.364        353.835
        0.2363         74.80        323.591        322.968        353.817
        0.2378         75.34        323.174        322.496        353.492
        0.2393         75.88        322.817        321.925        353.064
        0.2408         76.42        322.352        321.451        352.781
        0.2423         76.96        321.947        321.068        352.251
        0.2438         77.49        321.601        320.688        352.040
        0.2453         78.03        321.163        320.371        351.619
        0.2468         78.57        320.784        320.071        350.953
        0.2483         79.11        320.522        319.731        350.505
        0.2498         79.65        320.156        319.333        350.182
        0.2513         80.19        319.778        319.053        349.719
        0.2528         80.73        319.436        318.733        349.323
        0.2543         81.26        319.004        318.427        348.859
        0.2558         81.80        318.676        318.130        348.927
        0.2573         82.34        318.367        317.911        348.951
        0.2588         82.88        317.991        317.715        348.827
        0.2602         83.42        317.641        317.351        348.507
        0.2617         83.96        317.374        317.004        348.162
        0.2632         84.49        317.010        316.654        348.217
        0.2647         85.03        316.787        316.385        348.074
        0.2662         85.57        316.487        316.059        347.806
        0.2677         86.11        316.272        315.963        347.297
        0.2692         86.65        316.027        315.796        346.891
        0.2707         87.19        315.826        315.667        346.560
        0.2722         87.72        315.688        315.355        345.927
        0.2737         88.26        315.449        315.200        345.676
        0.2752         88.80        315.171        315.028        345.856
        0.2767         89.34        314.826        314.869        345.902
        0.2782         89.88        314.484        314.650        345.694
        0.2797         90.42        314.249        314.409        345.524
        0.2812         90.96        313.847        314.244        344.998
        0.2827         91.49        313.626        314.099        344.638
        0.2842         92.03        313.296        313.957        344.391
        0.2857         92.57        313.116        313.733        343.926
        0.2872         93.11        312.941        313.572        343.673
        0.2887         93.65        312.768        313.342        343.393
        0.2902         94.19        312.645        313.261        343.129
        0.2917         94.72        312.360        313.236        343.048
        0.2932         95.26        312.222        312.997        342.852
        0.2946         95.80        312.042        312.744        342.342
        0.2961         96.34        311.773        312.627        342.323
        0.2976         96.88        311.650        312.501        342.267
        0.2991         97.42        311.489        312.436        342.161
        0.3006         97.96        311.314        312.398        341.961
        0.3021         98.49        311.179        312.308        341.692
        0.3036         99.03        310.984        312.156        341.564
        0.3051         99.57        310.841        312.047        341.298
        0.3066        100.11        310.605        311.897        340.987
        0.3081        100.65        310.341        311.732        340.493
        0.3096        101.19        310.175        311.561        340.090
        0.3111        101.72        309.993        311.376        340.142
        0.3126        102.26        309.865        311.201        340.214
        0.3141        102.80        309.662        311.021        339.945
        0.3156        103.34        309.565        310.928        339.495
        0.3171        103.88        309.387        310.771        338.997
        0.3186        104.42        309.287        310.578        338.631
        0.3201        104.96        309.103        310.440        338.429
        0.3216        105.49        308.893        310.363        338.567
        0.3231        106.03        308.721        310.245        338.662
        0.3246        106.57        308.535        310.145        338.635
        0.3261        107.11        308.362        310.048        338.617
        0.3276        107.65        308.133        309.970        338.461
        0.3290        108.19        307.849        309.943        338.362
        0.3305        108.72        307.595        309.896        338.459
        0.3320        109.26        307.483        309.862        338.377
        0.3335        109.80        307.249        309.818        338.272
        0.3350        110.34        306.990        309.748        338.075
        0.3365        110.88        306.769        309.610        337.771
        0.3380        111.42        306.643        309.565        337.761
        0.3395        111.95        306.431        309.540        337.854
        0.3410        112.49        306.242        309.516        337.849
        0.3425        113.03        305.987        309.348        337.985
        0.3440        113.57        305.858        309.189        337.865
        0.3455        114.11        305.826        309.144        337.781
        0.3470        114.65        305.741        309.098        337.771
        0.3485        115.19        305.566        308.987        337.640
        0.3500        115.72        305.421        308.923        337.543
        0.3515        116.26        305.270        308.836        337.530
        0.3530        116.80        305.190        308.666        337.504
        0.3545        117.34        305.040        308.592        337.284
        0.3560        117.88        304.913        308.590        337.204
        0.3575        118.42        304.879        308.484        337.236
        0.3590        118.95        304.855        308.508        337.196
        0.3605        119.49        304.788        308.471        337.022
        0.3620        120.03        304.723        308.434        336.883
        0.3634        120.57        304.690        308.408        336.755
        0.3649        121.11        304.627        308.329        336.534
        0.3664        121.65        304.516        308.336        336.307
        0.3679        122.19        304.457        308.303        336.285
        0.3694        122.72        304.355        308.306        336.230
        0.3709        123.26        304.214        308.321        336.015
        0.3724        123.80        304.089        308.338        335.910
        0.3739        124.34        304.003        308.422        335.886
        0.3754        124.88        303.919        308.384        335.870
        0.3769        125.42        303.796        308.345        335.918
        0.3784        125.95        303.689        308.225        335.856
        0.3799        126.49        303.513        308.034        335.774
        0.3814        127.03        303.284        307.924        335.625
        0.3829        127.57        303.027        307.722        335.388
        0.3844        128.11        302.895        307.548        335.131
        0.3859        128.65        302.859        307.504        335.229
        0.3874        129.18        302.634        307.424        335.466
        0.3889        129.72        302.424        307.368        335.460
        0.3904        130.26        302.312        307.227        335.265
        0.3919        130.80        302.310        307.177        335.143
        0.3934        131.34        302.222        307.108        334.814
        0.3949        131.88        302.017        307.062        334.446
        0.3964        132.42        301.935        306.997        334.256
        0.3978        132.95        301.779        306.973        334.166
        0.3993        133.49        301.677        306.958        334.212
        0.4008        134.03        301.618        306.945        334.153
        0.4023        134.57        301.516        306.883        334.131
        0.4038        135.11        301.350        306.774        333.977
        0.4053        135.65        301.206        306.625        333.880
        0.4068        136.18        301.175        306.556        333.969
        0.4083        136.72        301.105        306.620        333.786
        0.4098        137.26        301.035        306.575        333.388
        0.4113        137.80        300.941        306.474        333.178
        0.4128        138.34        300.877        306.402        333.086
        0.4143        138.88        300.791        306.385        333.211
        0.4158        139.42        300.666        306.358        333.505
        0.4173        139.95        300.581        306.285        333.704
        0.4188        140.49        300.465        306.285        333.807
        0.4203        141.03        300.340        306.282        333.749
        0.4218        141.57        300.214        306.232        333.654
