Time (Mars Years), Time (Ls), Tsurf 500 mb 30km, Tsurf 500 mb 50km, Tsurf 500 mb 100km
          [Years],     [deg],               [K],               [K],                [K]
        0.2094         65.11        289.642        298.858        329.460
        0.2109         65.65        289.496        298.755        329.183
        0.2124         66.19        289.355        298.664        329.010
        0.2139         66.73        289.162        298.600        328.859
        0.2154         67.26        289.021        298.537        328.789
        0.2169         67.80        288.850        298.468        328.552
        0.2184         68.34        288.683        298.378        328.425
        0.2199         68.88        288.510        298.241        328.425
        0.2214         69.42        288.313        298.107        328.341
        0.2229         69.96        288.178        297.979        328.213
        0.2244         70.49        287.996        297.831        328.095
        0.2258         71.03        287.856        297.676        327.961
        0.2273         71.57        287.734        297.533        327.840
        0.2288         72.11        287.564        297.404        327.694
        0.2303         72.65        287.368        297.272        327.569
        0.2318         73.19        287.114        297.177        327.478
        0.2333         73.73        286.927        297.056        327.320
        0.2348         74.26        286.743        296.985        327.107
        0.2363         74.80        286.649        296.822        327.000
        0.2378         75.34        286.476        296.680        326.955
        0.2393         75.88        286.252        296.567        326.904
        0.2408         76.42        286.047        296.502        326.731
        0.2423         76.96        285.813        296.333        326.580
        0.2438         77.49        285.629        296.202        326.428
        0.2453         78.03        285.367        296.064        326.385
        0.2468         78.57        285.161        295.933        326.311
        0.2483         79.11        284.976        295.813        326.187
        0.2498         79.65        284.784        295.705        326.005
        0.2513         80.19        284.681        295.572        325.859
        0.2528         80.73        284.551        295.394        325.878
        0.2543         81.26        284.251        295.284        325.804
        0.2558         81.80        284.009        295.082        325.694
        0.2573         82.34        283.787        295.054        325.588
        0.2588         82.88        283.549        294.972        325.518
        0.2602         83.42        283.410        294.892        325.439
        0.2617         83.96        283.125        294.703        325.399
        0.2632         84.49        282.840        294.556        325.324
        0.2647         85.03        282.575        294.448        325.243
        0.2662         85.57        282.389        294.317        325.106
        0.2677         86.11        282.148        294.217        325.111
        0.2692         86.65        281.928        294.176        325.137
        0.2707         87.19        281.661        294.121        325.064
        0.2722         87.72        281.262        293.967        324.918
        0.2737         88.26        280.875        293.815        324.761
        0.2752         88.80        280.566        293.695        324.666
        0.2767         89.34        280.342        293.546        324.601
        0.2782         89.88        280.163        293.433        324.618
        0.2797         90.42        280.022        293.295        324.603
        0.2812         90.96        279.866        293.174        324.552
        0.2827         91.49        279.770        293.067        324.481
        0.2842         92.03        279.578        292.893        324.357
        0.2857         92.57        279.399        292.695        324.228
        0.2872         93.11        279.121        292.496        324.246
        0.2887         93.65        278.901        292.344        324.205
        0.2902         94.19        278.575        292.271        324.173
        0.2917         94.72        278.280        292.201        324.095
        0.2932         95.26        278.005        292.048        324.104
        0.2946         95.80        277.868        291.807        324.059
        0.2961         96.34        277.780        291.559        323.932
        0.2976         96.88        277.604        291.333        323.886
        0.2991         97.42        277.447        291.191        323.857
        0.3006         97.96        277.270        291.024        323.857
        0.3021         98.49        277.104        290.860        323.872
        0.3036         99.03        276.956        290.614        323.859
        0.3051         99.57        276.819        290.471        323.807
        0.3066        100.11        276.713        290.318        323.730
        0.3081        100.65        276.653        290.223        323.692
        0.3096        101.19        276.542        290.116        323.656
        0.3111        101.72        276.405        289.970        323.571
        0.3126        102.26        276.283        289.842        323.466
